step,pos,ratio_mean,ratio_last4,ratio_last,conf
3,86,0.9609375,0.96484375,0.94140625,-inf
3,87,0.95703125,0.96875,0.9375,-inf
3,88,0.95703125,0.96484375,0.93359375,-inf
3,89,0.94921875,0.95703125,0.921875,-inf
3,90,0.9609375,0.96484375,0.93359375,-inf
3,91,0.9453125,0.9609375,0.9375,-inf
3,92,0.9609375,0.96875,0.94140625,-inf
3,93,0.953125,0.96875,0.9453125,-inf
3,94,0.9609375,0.96875,0.9453125,-inf
3,95,0.94921875,0.96875,0.94921875,-inf
3,96,0.95703125,0.96875,0.953125,-inf
3,97,0.9609375,0.96875,0.94921875,-inf
3,98,0.95703125,0.96875,0.94140625,-inf
3,99,0.95703125,0.96875,0.9453125,-inf
3,100,0.95703125,0.96484375,0.9375,-inf
3,101,0.953125,0.97265625,0.9609375,-inf
3,102,0.9609375,0.96875,0.95703125,-inf
3,103,0.9609375,0.97265625,0.97265625,-inf
3,104,0.96484375,0.98828125,0.98828125,-inf
3,105,0.96875,0.9921875,0.98828125,-inf
4,44,0.8046875,0.703125,0.68359375,0.435546875
4,47,0.83984375,0.8125,0.76171875,0.1396484375
4,48,0.84765625,0.83984375,0.8515625,0.5546875
4,49,0.85546875,0.8671875,0.859375,0.2412109375
4,50,0.86328125,0.87109375,0.84375,-inf
4,51,0.8828125,0.8984375,0.85546875,-inf
4,52,0.8828125,0.8984375,0.8671875,-inf
4,53,0.88671875,0.90625,0.8828125,-inf
4,54,0.89453125,0.91796875,0.88671875,-inf
4,55,0.90234375,0.921875,0.890625,-inf
4,56,0.9140625,0.92578125,0.890625,-inf
4,57,0.90625,0.9296875,0.89453125,-inf
4,58,0.91015625,0.92578125,0.88671875,-inf
4,59,0.921875,0.93359375,0.89453125,-inf
4,60,0.921875,0.93359375,0.89453125,-inf
4,61,0.9140625,0.9375,0.8984375,-inf
4,62,0.93359375,0.9375,0.90234375,-inf
4,63,0.9140625,0.9375,0.90234375,-inf
4,64,0.93359375,0.94140625,0.91015625,-inf
4,65,0.9296875,0.9453125,0.9140625,-inf
4,66,0.9296875,0.9453125,0.91796875,-inf
4,67,0.9375,0.9453125,0.91796875,-inf
4,68,0.93359375,0.95703125,0.9296875,-inf
4,69,0.9296875,0.953125,0.92578125,-inf
4,70,0.93359375,0.95703125,0.9296875,-inf
4,71,0.9453125,0.953125,0.92578125,-inf
4,72,0.9375,0.95703125,0.93359375,-inf
4,73,0.93359375,0.953125,0.9296875,-inf
4,74,0.9453125,0.95703125,0.93359375,-inf
4,75,0.9375,0.95703125,0.9296875,-inf
4,76,0.94140625,0.953125,0.92578125,-inf
4,77,0.94140625,0.95703125,0.92578125,-inf
4,78,0.94140625,0.9609375,0.93359375,-inf
4,79,0.9375,0.95703125,0.9296875,-inf
4,80,0.9453125,0.953125,0.92578125,-inf
4,81,0.94140625,0.95703125,0.9296875,-inf
4,82,0.93359375,0.95703125,0.9296875,-inf
4,83,0.94140625,0.9609375,0.93359375,-inf
4,84,0.94140625,0.9609375,0.9375,-inf
4,85,0.94140625,0.953125,0.9296875,-inf
4,86,0.953125,0.9609375,0.9296875,-inf
4,87,0.94921875,0.9609375,0.9296875,-inf
4,88,0.9453125,0.95703125,0.92578125,-inf
4,89,0.94140625,0.953125,0.91796875,-inf
4,90,0.9453125,0.953125,0.92578125,-inf
4,91,0.9375,0.953125,0.92578125,-inf
4,92,0.94921875,0.9609375,0.93359375,-inf
4,93,0.9453125,0.9609375,0.9375,-inf
4,94,0.953125,0.9609375,0.9375,-inf
4,95,0.94140625,0.9609375,0.94140625,-inf
4,96,0.94921875,0.96484375,0.9453125,-inf
4,97,0.953125,0.96484375,0.94140625,-inf
4,98,0.9453125,0.96484375,0.9375,-inf
4,99,0.94921875,0.96484375,0.94140625,-inf
4,100,0.9453125,0.95703125,0.93359375,-inf
4,101,0.9453125,0.9609375,0.94921875,-inf
4,102,0.94921875,0.9609375,0.9453125,-inf
4,103,0.94921875,0.96484375,0.95703125,-inf
4,104,0.95703125,0.984375,0.98828125,-inf
4,105,0.9609375,0.9921875,0.98828125,-inf
5,44,0.7890625,0.7109375,0.69921875,0.59375
5,47,0.8125,0.8125,0.75,0.15625
5,49,0.80859375,0.7890625,0.78515625,0.296875
5,50,0.83984375,0.859375,0.8125,-inf
5,51,0.8515625,0.87890625,0.83984375,-inf
5,52,0.859375,0.890625,0.859375,-inf
5,53,0.875,0.90234375,0.8671875,-inf
5,54,0.875,0.91015625,0.875,-inf
5,55,0.87890625,0.90625,0.875,-inf
5,56,0.89453125,0.9140625,0.875,-inf
5,57,0.88671875,0.921875,0.8828125,-inf
5,58,0.8984375,0.91796875,0.87890625,-inf
5,59,0.90234375,0.9296875,0.890625,-inf
5,60,0.90625,0.9296875,0.890625,-inf
5,61,0.8984375,0.93359375,0.89453125,-inf
5,62,0.91796875,0.9375,0.8984375,-inf
5,63,0.91015625,0.9375,0.8984375,-inf
5,64,0.91796875,0.94140625,0.90625,-inf
5,65,0.9140625,0.9453125,0.91015625,-inf
5,66,0.91796875,0.9453125,0.9140625,-inf
5,67,0.92578125,0.94140625,0.9140625,-inf
5,68,0.921875,0.953125,0.92578125,-inf
5,69,0.91796875,0.953125,0.92578125,-inf
5,70,0.921875,0.95703125,0.92578125,-inf
5,71,0.93359375,0.953125,0.91796875,-inf
5,72,0.9296875,0.953125,0.9296875,-inf
5,73,0.9296875,0.953125,0.92578125,-inf
5,74,0.93359375,0.95703125,0.9296875,-inf
5,75,0.9296875,0.95703125,0.9296875,-inf
5,76,0.9296875,0.95703125,0.9296875,-inf
5,77,0.9296875,0.953125,0.92578125,-inf
5,78,0.9296875,0.9609375,0.93359375,-inf
5,79,0.9296875,0.95703125,0.9296875,-inf
5,80,0.93359375,0.953125,0.9296875,-inf
5,81,0.92578125,0.95703125,0.9296875,-inf
5,82,0.9296875,0.9609375,0.93359375,-inf
5,83,0.9296875,0.9609375,0.93359375,-inf
5,84,0.93359375,0.953125,0.9296875,-inf
5,85,0.9296875,0.95703125,0.93359375,-inf
5,86,0.9375,0.95703125,0.92578125,-inf
5,87,0.9375,0.95703125,0.92578125,-inf
5,88,0.9375,0.95703125,0.92578125,-inf
5,89,0.93359375,0.953125,0.91796875,-inf
5,90,0.9375,0.9609375,0.9296875,-inf
5,91,0.9296875,0.953125,0.92578125,-inf
5,92,0.94140625,0.9609375,0.9296875,-inf
5,93,0.9375,0.9609375,0.93359375,-inf
5,94,0.94140625,0.9609375,0.9296875,-inf
5,95,0.93359375,0.9609375,0.9375,-inf
5,96,0.9375,0.96484375,0.9375,-inf
5,97,0.94140625,0.96484375,0.9375,-inf
5,98,0.93359375,0.9609375,0.93359375,-inf
5,99,0.9375,0.96484375,0.9375,-inf
5,100,0.93359375,0.9609375,0.93359375,-inf
5,101,0.93359375,0.96484375,0.953125,-inf
5,102,0.94140625,0.9609375,0.9453125,-inf
5,103,0.9375,0.96875,0.95703125,-inf
5,104,0.9453125,0.984375,0.984375,-inf
5,105,0.94921875,0.9921875,0.984375,-inf
6,47,0.75390625,0.74609375,0.7421875,0.1689453125
6,49,0.75,0.7265625,0.7578125,0.287109375
6,50,0.78515625,0.79296875,0.7734375,-inf
6,51,0.79296875,0.80859375,0.8046875,-inf
6,52,0.79296875,0.8359375,0.828125,-inf
6,53,0.828125,0.84765625,0.83984375,-inf
6,54,0.8359375,0.859375,0.84375,-inf
6,55,0.83984375,0.86328125,0.84765625,-inf
6,56,0.83203125,0.87109375,0.84765625,-inf
6,57,0.8359375,0.8828125,0.85546875,-inf
6,58,0.85546875,0.88671875,0.86328125,-inf
6,59,0.84375,0.89453125,0.875,-inf
6,60,0.85546875,0.8984375,0.87109375,-inf
6,61,0.87109375,0.90625,0.87890625,-inf
6,62,0.88671875,0.90234375,0.875,-inf
6,63,0.88671875,0.9140625,0.87890625,-inf
6,64,0.87890625,0.91796875,0.88671875,-inf
6,65,0.87890625,0.91796875,0.890625,-inf
6,66,0.875,0.91796875,0.89453125,-inf
6,67,0.89453125,0.921875,0.90234375,-inf
6,68,0.89453125,0.921875,0.90625,-inf
6,69,0.8984375,0.9296875,0.9140625,-inf
6,70,0.89453125,0.9296875,0.91796875,-inf
6,71,0.87109375,0.9296875,0.9140625,-inf
6,72,0.90625,0.9296875,0.921875,-inf
6,73,0.90625,0.9296875,0.9140625,-inf
6,74,0.91015625,0.9296875,0.9140625,-inf
6,75,0.890625,0.9296875,0.91015625,-inf
